song_id,annotated_patterns,selected_patterns
NLB072378_01,8_1_1_3_5_5_10_8_3_3_1,"5_3,5_5_8_8_5,8_6_5_5_8_8,8_8,5_3_3,8_6_5,6_5,5_5_8_8_5_3,8_6,3_8,3_3,5_5,3_8_1_1_3_5,5_10_8_3_3_1,3_3_8,3_5_5_10_8_3,3_8_8_6_5_3,10_8,3_5_5_10_8"
NLB072441_01,"6_5_6_10_8,10_8,5_5,8_8_6_5,6_6,3_5_6_3_1,1_1_8_8_1_12","6_5_6,6_5_6_10_8,10_8,8_8,5_5,8_8_8_6_5_5,8_6_5,6_5,8_6,8_8_6_5_5_5,6_6,6_6_5_6,8_8_6,6_5_6_10,8_6_5_5_5,5_6,10_8_8_8_6_5"
NLB072450_01,"1_3_5,12_10_8,8_3_1,5_3_1","5_3,8_8,6_5,8_6,8_10_3_1,3_1,5_5_5_3_1_12,8_3,5_5,8_8_5_6_10_8,8_5,8_5_6_10_8_6,8_8_5_6_10,3_1_12_10,8_10,10_8,8_5_6_10,6_5_8_10_8_3,8_5_6_10_8"
NLB072457_01,"8_6,5_3,5_3_1","5_3,6_5_3_1_1_1,1_1,6_5_3,1_1_1_3_5_3,5_3_1,6_5_3_1,3_1_1_1_1_3,6_5,8_6,1_1_1,3_1,5_3_1_1_1_1,1_1_1_1_3_5,8_6_5_3_1_1,3_1_1_1_1,1_3"
NLB072482_01,"1_5_8_1_1_3_3_5,8_8_8_6_5,10_8_8_10_10_8","8_8,6_5,8_6,10_10_8_6_5_6,8_8_6_5_1_5,8_1,3_3_5_1_1_12,8_5_8_1_12_10,1_3_3_5_1_1,6_5_6_8_8_8,8_6_5_6_8_8,12_10,5_1,6_5_6_8_8,10_8,10_10,3_5_1_1_12,5_8,3_3_5_1_1,1_12"
NLB072497_01,"5_3_1,3_8,12_10_8","5_3,10_10_8,8_10,10_8,8_8,12_10,10_8_1_12_12_10,3_5,8_8_10_10_8_1,8_1,10_10,12_12_10_10,10_8_1,12_12_10_10_8,10_10_8_1_12_12,8_8_8,8_10_10_8_1_12,8_8_8_8"
NLB072499_01,"8_10_10_8_10_10,1_5_8_1","1_5_8_1_8,8_8,8_6_3,8_6,8_8_6_3_5,6_3_5_5,8_8_6_3_5_5,1_1,5_8_1_8_8,1_5_8_1_8_8,8_6_3_5_5,8_1,1_5_8,1_1_5_8_1_8,1_5,1_1_5_8_1,6_3,8_10,10_8,5_8"
NLB072500_01,"10_8,8_10_8_3,8_3_6_5_1,1_5_8","8_8,5_8_10,10_10_10_8_1,6_6,1_5_8_10,5_5,8_10_10_10_8_1,1_5_8_10_8,10_10_10_8_1_5,8_5,8_8_5_5_5,8_10_8,8_10,10_8,1_5_8_10_8_3,10_10,5_8,8_8_8_5_5_5,8_8_8_5_5"
NLB072505_01,"8_8_8_6_5,10_8_8_10_10_8,1_1_5_8_1_1_3_3_5","10_8,1_1,8_8,12_10,5_6_5_6_8_8,10_8_1_8_8_6,10_10_8_5_6_5,1_8_8_6_3_1,3_3_5_1_1_1,8_1,10_10,6_5,5_1_1,8_8_8,8_10_10_8_5_6,1_12,5_6,1_1_5_8_1_1"
NLB072553_01,"5_10_8,5_3_1_12,8_8_6_5","5_10_8_3_10_8,5_3,6_5_3,8_8,3_5,6_5,6_5_10_8_3,8_6,1_12_1_6,5_10_8_3_10,6_8_6_5_10,5_3_5_6_8_6,5_3_5,6_8_6_5_10_8,3_5_6,5_6,10_8,8_6_5_10_8_3,6_5_3_5_6,6_5_10_8_3_10"
NLB072559_01,"5_5_5_1,5_8_8_5,3_6_5_3_12_1,8_8_1,3_8,5_1_1_12","5_3,8_8,5_5_1_3_12_1,5_5,1_3_6_5_3_12,8_5_6_1,8_1,1_3_12_1_3_3,3_12,6_1_3,5_1,12_1,1_5,5_5_1_3_12,1_3,6_1_3_6,6_1_3_6_5_3,3_12_1,8_5_6_1_3"
NLB072565_01,"3_8,8_5_3,5_10_8,6_8_10_8","5_3,3_5,3_5_10_8,1_3_5_10_8,8_5,10_8_5,1_3_5_10,1_3_5_10_8_5,3_5_10,5_10,8_5_3,1_3,10_8_5_3,8_10,10_8,3_5_10_8_5,5_10_8_5,3_5_10_8_5_3,5_10_8_5_3"
NLB072567_01,"8_10_10_8_6_5,10_8_8_10_8_8,8_10_12_1_1_3_3_5","8_10,5_5_3_10_12_1,10_8,8_8,5_5_3_10_12,10_12_1,12_1,10_12,8_6,6_5,1_5,5_8,10_12_1_1_3_3,12_1_1_3_3,12_1_1_3_3_5,1_5_5_3_10_12,12_1_8_10_8_8,3_1_5_5_3_10"
NLB072585_01,"8_5_1,6_5_6_8_10_10_10,10_8_6_5","8_8,8_5_1_1_1_1,8_6,5_1_1_1_1,3_3,8_5_1_1_1,1_1,5_5,1_1_1_1_3_3,5_1_1_1_1_3,8_5,1_1_3_3_1_3,5_1,3_3_1_3_5_5,1_3_3_1_3_5,1_1_1,1_3,10_10,1_3_3_1_3"
NLB072587_01,"5_5_5_3_1_8_1_3_5,5_3,3_1,5_5_5_5_3_1_8_1_3_5","5_5_3_1,5_3,3_1_8_1_3_5,5_5,5_3_1,3_5,5_3_1_8_1_3,5_5_5_3_1_8,3_1_8_1_3,5_5_3_1_8_1,5_5_5_3_1,5_5_5_5,3_1,5_5_3,1_8_1_3_5_5,5_5_5_3,5_5_5"
NLB072587_02,"5_3,8_1_3_3_5_8_1_3_5,3_1,5_5_5_5_3_1_8_1_3_5","3_3,5_3,3_5_5_5_5,5_5_3_1,5_5_5_5_3_1,5_5,3_5,8_1_3_5_5_5,8_1,5_5_5_5,3_1,3_5_5_5_5_5,1_3_5_5_5_5,5_5_3,1_3,5_5_5,5_5_5_5_5_3"
NLB072614_01,"1_8_8,8_6_5_3,3_5_3","5_3,3_5_6_6_5_3,8_8,3_5,1_3_5,6_5,3_1,6_6,3_1_8_8_1_1,5_3_1,8_1,3_5_6_6,1_3_5_6_6_5,1_1_3_5_6_6,5_5_3_1_12_1,1_8_8_1_1_3,1_3,5_6_6,1_5_5_3_1_12"
NLB072624_01,"1_12_10,10_8_12_3_5_1,8_1","5_3,10_8,1_8,8_12_3_5,10_8_12_3_5,8_6_5,6_5,8_1,8_12_3_5_1,8_6,8_12,3_1,12_3,1_8_6,10_8_12,1_8_6_5,10_8_12_3_5_1,12_3_5_1"
NLB072627_01,"1_8,8_1,8_8_8_6_5_3,5_5_5_5,8_8_6_5_3","3_3,5_3,5_5_5_5_5,6_6_6_5_5_3,1_1,8_8,5_5,12_3_3_5_6_6,1_12_3_3_5,6_5,6_6_6_5_5,12_3_3_5_6,5_5_5_5,6_6,3_1,1_12_3_3_5_6,5_5_5"
NLB072647_01,"8_6_5_3,1_5_8,3_5_3","5_3,3_5,1_3_5,6_6,3_1,1_1,5_6_6_6_8_6,8_1,3_5_6_6_6_8,8_1_1_3_5_3,3_1_5_8_1_1,5_8_1_1_3_5,3_12_10_12_1,1_1_3_5_3_12,12_1,1_5,5_3_12_10_12,1_3,3_12_10_12,5_6_6_6_8"
NLB072664_01,"8_10_8_6_10_6_5,10_8_8_10_8_8,8_10_12_1_1_5_3_5_6_5","8_10,10_8,8_8,12_1_1_5,8_10_12,12_1,10_12,6_5,10_12_1,8_6_10_6_5_8,8_10_12_1,12_1_1_5_3_5,3_5_6_5_8_6,12_1_1_5_3,1_12"
NLB072665_01,"1_10_8,3_12_10_8,8_6_5_3,1_5_10_8,6_6_10_10","5_3,8_8,5_6_6_10_10,6_5,8_6,6_6,12_1_5_10_8_6,10_12_1_5_10,12_1_5_10_8,3_12,10_12_1_5_10_8,12_1,5_8_5_3_12_1,8_10_12_1_5_10,8_10,10_8,5_3_12_10_8_10,3_5_6_6_10_10,10_8_6,5_6_6_10_10_8"
NLB072688_01,"6_8_10_10,8_6_5_3,3_12_8,8_5_1,3_10_8","5_3,10_8_6_5_3,6_5_3,3_5,8_6_5,3_10_8_6_5,6_5,8_6,3_10,3_10_8,1_3_10_8_6_5,1_3_10,3_10_8_6_5_3,8_6_5_3,1_3_10_8,1_3,10_8,1_3_10_8_6,3_10_8_6"
NLB072690_01,"8_8_6_5_3,5_5_5_5,1_8,8_1","3_3,1_1_3_5_1,5_5_5_5_5,1_1,8_8,5_5,3_5,3_5_1_8,5_1,8_1_1_3_5_1,8_1,1_1_3_5_1_8,8_1_1_3_5,5_5_5_5,1_3_5_1_8,1_3,5_5_5"
NLB072691_01,"6_8_10_10,8_6_5_3,3_12_8,8_5_1,3_10_8","5_3,10_8_6_5_3,10_8,3_5,3_10_8_6_5,6_5,8_6,3_10_8,1_3_10_8_6,5_1_3_5_8_5,3_10,8_5,1_3_10_8_6_5,3_10_8_6,1_3_10_8,1_3_10,3_10_8_6_5_3,1_3"
NLB072708_01,"8_8_6_5_3,5_5_5_5,1_8,8_1","3_3,5_3,5_5_5_5_5,8_1_1_1_3,1_1,5_5,8_8,5_3_1,6_6_5_5_3_12,8_1,3_5_3_1_8,5_5_5_5,3_1,8_1_1_1,5_5_5"
NLB072714_01,"6_8_10_10,8_6_5_3,3_12_8,8_5_1,3_10_8","5_3,6_8,3_5,8_6_5,3_10_8_6_5,6_5,8_6,3_10,3_10_8,1_3_10_8_6_5,1_3_10,3_10_8_6_5_3,1_3_10_8,1_3,5_6,10_8,6_5_8_3_1,1_3_10_8_6,6_8_6_5_8_3,3_10_8_6"
NLB072721_01,"5_5_8_8_6,10_10_10_1_12_10,8_6_5,10_8_8_10_8_8,1_5_8_8,6_6_10_10_8","8_8,6_6_10_10_8_1,10_8_1_5_8_8,8_6,5_8_8_1_1_12,6_6,8_8_8,1_12_10_10_10_1,8_1,8_8_1_1_12,1_5_8_8_1_1,8_10,10_8,6_10_10_8_1_5,10_10,5_8,8_8_1_1_12_10,8_8_10_8_8,1_12"
NLB072754_01,"10_8_8_10_8_8,1_5_8_1_1_3_8_1","5_3,8_8,1_8_8_3_6_5,8_1_1_3_8_1,6_5,3_6,1_1_3_8_1,8_5_1_8_8_3,8_1,1_3_8_1,12_10,1_5_8_1,1_5,12_10_3_6_5_3,10_3_6_5_3,10_8,3_6_5_3_1,5_8,3_6_5_3,1_12"
NLB072774_02,"8_1_3_5_3_3_1_5_3,8_1_3_5_3_1_5_3,3_1","3_1_5_3,5_3,1_3_5_3,10_8,1_3_5_3_1,3_1_5_3_8,5_3_1,3_5,1_3_5,10_10_8_5_10,8_1,1_5_3_8,1_5,3_1,5_3_1_8_5_1,8_1_3_5_3,1_3,3_5_3"
NLB072813_01,"5_8_8_5,5_3_1_12,8_8_1,3_6_5_3_1,5_5_5_5","5_3,8_8,3_1_12,10_12_5_3_1_12,3_1,12_5_3_1_12,5_5,5_3_1,1_12,12_10,8_8_5_3_6_5,5_8_8_5_3_6,5_3_1_12_10,1_5,5_3_12_1_3_3,3_1_12_10,1_12_10,10_12_5_3_1,5_5_5_5_3_12"
NLB072823_01,"6_5_6_8_10_10_10,8_6_5,8_8_1,8_1","6_8,5_6_8_10_8_6,8_6,5_6_8_10,5_6_8,1_3_1_3_5,1_1,1_1_1_3_1_3,8_1,6_8_10,1_1_3_1_3_5,6_8_10_8_6,1_3,5_6,8_10,1_3_1_3,1_1_1_3_1,1_1_3_1_3,8_1_1_1_3_1,1_3_1_3_5_5"
NLB072837_01,"5_3_1_12,5_8_5,8_8_1,3_6_5_3_1,3_8,5_5_5_5","5_3,8_8,3_5,1_12_10_1_5_3,3_1,10_1_5_3_5,10_1_5_3_5_3,5_5,5_3_1,12_10_1_5_3,12_10_1_5_3_5,3_1_12_10_1_5,12_10_1_5,12_1,1_5,5_5_5,1_5_3,1_12_10_1_5,10_1_5_3"
NLB072851_01,3_5_3_1,"5_3,6_8,5_3_1_1_5_6,3_1,5_1_1_1_5,5_1_1_1_5_3,1_1,1_1_5,1_1_1_5_3_1,3_1_1_5_6,5_1,1_5,1_1_5_6_8_10,5_6,8_10,10_8,5_5_1_1_1_5,1_1_1_5_3,1_1_5_3_1_1"
NLB072851_02,3_5_3_1,"3_1_1_5_3_1,5_3,3_1_1_5_6_8,1_1,5_3_1_1_5,5_3_1,3_1_1_5,3_1_1_5_3,1_5,1_1_5,3_1,3_1_1,5_3_1_1,1_1_5_6_8_8,5_3_1_1_5_3,1_1_5_3_1_1,1_5_3_1_1_5"
NLB072862_01,"5_3_1_12,8_8_1,5_8_1,3_8,5_5_5_5,3_6_6_5_3_1","5_3,3_5,3_1,5_8_1_3_6_6,1_3_6_6,1_3_6_6_5,1_3_5_8_1_3,5_5,5_3_1,8_1,8_1_3_6_6,1_5,8_1_3_6_6_5,1_3,5_5_5,3_1_3_5_8_1,1_3_6_6_5_3,3_5_8_1_3_6,3_5_3"
NLB072871_01,"1_3_5,12_10_8,5_3_1","5_3,8_8,8_6_5,3_5_8_10_1,6_5,8_6,3_1,5_8_10_1_12_10,10_8_3_8_8_8,3_5_8_10_1_12,5_5,5_8_10_1,5_8_10_8_3_8,1_3_5_8_10_1,8_5_8_10_8_3,5_6_8_5_8_10,8_10,10_8,5_8,5_8_10_1_12"
NLB072881_01,"1_8_8,8_6_5_3,3_5_3","5_3,8_8,6_5_3,5_3_1,3_5,1_3_5,1_5_3_1_12_1,6_10_8_6_5_3,1_8_8_5_3,6_5,1_8_8_5_3_6,8_6,8_5_3_6_6_5,3_1,8_8_5_3_6_6,3_1_8_8_5_3,8_8_5_3_6,1_3"
NLB072883_01,"5_8_5,8_8_1,3_1_12,5_5_5_5,3_5_3_1","5_3,12_10,5_5,5_8_5_5_5_3,5_3_1,3_5,1_12,3_1_12_10,3_3_5_8_5_5,12_5_3_1_12,3_1_12,3_5_8_5_5_5,10_12_5_3_1_12,3_1,3_5_8_5_5,5_8_5_5_5,1_3,5_5_5"
NLB072886_01,"6_5_6_8_10_10_6_6,6_5_6_8_10_12_1_6,8_1,5_3_1","5_3,1_8,8_8,1_10_8_5,8_10_12_1_10_8,8_8_1_8_10_12,6_5,8_1_8_10_12,8_10_12_1_10,3_1,10_12_1_10_8_5,1_1,10_12,1_8_10_12_1_10,8_1_8_10_12_1,8_8_1_8_10,12_1,8_10,10_8,12_1_10_8_5"
NLB072886_02,"6_5_6_8_10_12_1_6,8_1,5_3_1","5_3,1_8,8_8,1_10_8_5,8_8_1_8_10_12,6_5,8_1_8_10_12,10_12_1_10_8_5,8_10_12,10_12,8_10_12_1,1_8_10_12_1_10,8_1_8_10_12_1,8_8_1_8_10,10_12_1_6_5_3,12_1,10_12_1_6,8_10,10_12_1,12_1_10_8_5"
NLB072895_01,"5_3_1_12,5_8_5,8_8_1,3_8,5_5_5_5,3_6_6_5_3_1","5_3,8_8,3_5,10_12_5_3_5_3,3_1,12_5_3_5_3,12_5_3_5_3_8,5_5,5_3_1,12_10_12_5_3_5,12_5_3_5,12_10,8_5_3_6_6_5,10_12_5_3_5,5_5_5,5_8_5_3_6_6,8_5_3_6_6,1_12,3_5_3"
NLB072897_01,"10_8_6_6_5,8_3,1_5_8,3_5_6_10_10_8_8_5","8_8,3_5,10_10_8_8_5_1,10_10_8_8_5,8_3,1_3_5_8_3,5_6_10_10_8_8,6_10_10_8_8_5,1_5_8,5_1,8_10_8,1_5,10_8_8_5_1_3,5_8_3_5_1,8_10,3_5_8_3_5,10_8,8_8_5_1_3_5,5_8,5_1_3_5_8_3"
NLB072898_01,"5_3_1_12,8_8_1,8_1,3_6_5_3_1,5_5_5_5","5_3,1_8,8_8,3_1,8_8_5_3_6,8_5_3_6_5,5_5,5_3_1,1_3_5_8_8_5,8_1,8_1_5,1_8_8_1_5_5,8_8_5_3_6_5,5_8_8_5_3_6,5_8_8_5_3,1_5,8_5_3_6_5_3,5_5_5,3_5_8_8_5_3"
NLB072898_02,"5_5_5,3_8,8_1,3_6_5_3_1","5_3,1_8_1_5_5_3,8_1_5_5,1_8,5_5,8_1_5,5_3_1,1_8_1_5_5,8_1,1_5_5,1_5_5_3,1_5,3_1,8_5,1_8_1_5,5_5_3,8_1_5_5_3"
NLB072912_01,"1_12_10_8,3_5_3_3","3_3,5_3,1_1,3_5_3_3,1_12_10_8_1_1,5_3_3,3_5,3_5_3_3_5,12_10_8_1_1,3_3_5,3_1,10_8_1_1_3_5,8_1_1_3_5_3,5_3_3_5_3,3_5_3_3_5_3,12_10_8_1_1_3,5_3_3_5,3_5_3"
NLB072920_01,"1_12_10_8,3_3_3_3","3_3,1_12_10_8_1,12_10,5_5,10_8,10_8_5_1_12,3_3_3,1_12,1_12_10,3_3_3_3_3_3,3_3_3_3,12_10_8_5_1_12,12_10_8_1,3_3_3_3_3"
NLB072946_01,"1_12_10_8,3_3_3","3_3,1_1_12_10_8_1,10_8_1_1_3,1_1,12_10,10_8,1_12_10_8_1_1,3_3_3,1_12,3_3_3_3_3_3,8_1,12_10_8_1_1,3_3_3_3,12_10_8_1_1_3,3_3_3_3_3"
NLB072967_01,"1_1,6_5_3,8_8_6_5,8_8_10_8,10_8,6_8_10_10_8,8_8_10_12_1_12,1_5_8_6,6_6,3_5_6_3_1","10_8_8,8_10,8_8_8_6_5,10_8,8_8,5_1_5_6_8_10,8_6_5,8_10_10_8_8,6_5,10_8_8_8_6,8_10_10_8_8_8,8_6,5_8,10_8_8_8,8_8_8,10_10_8_8_8,5_6,10_8_8_8_6_5"
NLB072968_01,"10_8_1_12_3_1,9_8_1_12_3_1,8_1,1_10","3_1_10_10,3_1,8_1_12_3_1,1_1,8_1,1_3_1_10,8_1_1,12_3,12_12,8_1_12_3,8_1_1_3_1_10,1_1_3_1_10_10,1_3_1_10_10,1_12_3_1,10_8,1_10,1_1_3_1_10,10_10,1_12"
NLB073031_01,"10_10_8,3_3_10_10_8,1_5_8_8,8_10_8,8_6,1_5,1_5_8_1_12,3_5_6_3_1,5_6_8,6_3","5_3,3_5,6_5_1_5,6_5,8_6,5_6_3,3_3,8_1,5_1_5,1_5,6_5_1_5_3,10_10_12_10_10_8,5_1_5_3,3_5_6_3,8_1_10_6_5_1,5_6,10_8,10_10,5_1_5_3_5_6"
NLB073046_01,"5_1,1_10,1_3_8_5_5_1_3_8_5,6_5_3_1_8_1_3_5,3_12_1","5_3,8_8,3_5,5_1_3_8,6_5,1_3_8,3_1,5_1_3_8_5,5_1_3_8_5_5,5_5,8_5,1_3_8_5,3_8_5_5,5_1,1_3,5_5_5,5_1_3,3_8_5,1_3_8_5_5"
NLB073076_01,"3_6_5_3_12_1,5_3_1_12,5_8_5,8_1,3_8,5_5_5_5","5_3,8_3_3_5_3,3_8_8_1_1,3_5,3_8_8_1_1_5,1_1_5_5_5_5,3_1,8_8_1_1_5_5,5_3_6_5_3_12,5_5,5_3_1,8_1,12_10,1_5,10_8_3_3_5_3,3_1_3_5_8_5,5_5_5,8_3_3_5_3_8,1_12,8_1_1_5_5_5"
NLB073120_01,"10_8,8_1,8_8_8_1_6,5_10,8_10_12_1","5_3,8_8,6_5,3_1,6_5_3_8_8_8,3_5_8_8_8_10,8_8_8_1_6_5,8_8_1_6_5,5_3_1,1_12,8_1,8_8_8_1_6,12_10,8_10,10_8,3_8_8_8_1_6,12_10_8_10_8_8,1_3_5_8_8_8,10_8_10_8_8_1"
NLB073146_01,"5_5,6_5_3,8_10_8,8_6,5_6_8,8_10_6_5,3_10_10_8_1,1_1_5_8_12_12_12","5_3_1_5_10_8,5_3,10_6,6_8,3_5,6_5,8_6,5_3_1_5_10,1_5_8_12,10_6_5_5,10_6_5_5_5,12_12,10_6_5_5_5_3,1_1_5_8_12_12,1_5_8_12_12_12,1_5,1_5_8_12_12,5_6,8_10,10_8"
NLB073150_01,"8_3_1,6_5_3_1,8_1","8_1_1_6,8_10,10_8,1_1,8_8,1_1_1_3_1_12,8_1_1_6_5_3,1_1_1_1,8_1,8_10_8,1_1_1,10_8_1_1_6,3_1,8_8_8,8_1_1,8_1_1_6_5,8_1_1_1_1"
NLB073210_01,"8_10_10_8_10_10,1_5_8_1,3_1","8_6,3_1,10_8_5_10,8_5_10_8_6_3,10_8_5_10_8_6,8_1,5_10_8_6_3,10_8_5_10_8,5_1,12_10_8_5_10,12_3_1_5,1_5,3_1_5,12_10_8_5_10_8,8_10,10_8,1_12_10_8_5_10,10_8_6,5_8,8_5_10_8_6"
NLB073225_01,"1_12_10_8_10_12_1,3_1_10,12_10,1_12_10_8,8_1_5_8_1","1_12_10_3_5_1,8_1_5_8,12_10_3_5_1_12,1_5_8_1_1,1_1,12_10_3_5_1,5_8_1_1,8_1,8_1_5_8_1,1_5_8,12_10,8_1_5,1_5_8_1,1_5,1_1_3_1_10_1,10_8,1_12_10,8_1_5_8_1_1,5_8,1_12"
NLB073225_02,"1_12_10_8_10_12_1,12_10,5_3_1_10,1_12_10_8,8_1_5_8_1","3_5,10_3_5_1_12,8_1_5_8,1_1_12_10_3_5,12_10_3_5_1_12,12_10_3_5_1,10_3_5_1_12_10,8_1,10_12,8_1_5_8_1,12_10,1_5_8_1,12_1,3_5_3_1_10_12,1_5,10_3_5_1,10_8,1_12_10,5_8,1_12"
NLB073269_02,"8_5_1_8,8_1,1_5_10_8,5_10,8_10_12_1,12_10_8","1_5_10_10_10,8_8,5_10_10_10_10,5_1_8_5_3,1_5_10,10_10_10,8_5,1_5_10_10_10_10,10_10_10_10_6,5_1,5_10,1_5,10_8_8,8_10,10_8,5_10_10_10_10_6,10_10,10_10_10_10_6_8,8_1_5_10_10_10,8_5_1_8_5_3"
NLB073277_01,"12_10,10_8_5,12_10_8","10_3_3_5_3,8_8,7_8,1_12_12_10_3,8_8_8,1_12_12_10_3_3,8_7,10_12,10_3_3_5,8_5,7_8_10_8_5,12_10,8_7_8_10_8_5,12_1,12_12_10_3_3,3_5_3_12_10_8,8_10,10_8,12_12_10_3_3_5,10_3_3_5_3_12"
NLB073286_01,"6_8_10_10,8_6_5_3,5_10_8,3_12_8,8_5_1","6_8,1_3_5_6_6_8,3_5_6_6_8_3,3_5,1_3_5,5_1_3_5_6_6,6_5,8_6,6_6_8_3,3_5_6_6_8,5_6_6_8_3_1,1_3_5_10_8_6,5_6_6_8,5_10,3_5_6,6_6_8_3_1,1_3,5_6,10_8,5_6_6_8_3"
NLB073287_01,"8_8_6_5_3,5_5_5_5,8_1","3_3,5_3,5_5_5_5_5,5_5_3_3_1_5,5_5,8_8,3_3_5_6_5_5,3_3_3,6_5,5_5_5_8,5_5_5_5,1_5,3_1,5_5_5_5_5_5,5_5_5"
NLB073287_02,"8_8_6_5_3,5_5_5_5,8_1","3_3,5_3,5_5_5_5_5,8_8,5_5,3_3_5_6_5_5,3_5,3_3_3,6_5,5_5_5_5,8_8_8,8_8_8_8,5_5_5"
NLB073296_01,"8_8_8_8_6_6_5,8_1,8_8_6_8_10_10_10","1_1_3_1_3_5,8_1_1_3_1_3,1_1,8_8,5_5,8_8_8_8_8_6,3_5,1_3_1_3,8_1_1_3_1,8_1,10_10,3_1,8_8_8,8_8_8_8,1_3_1_3_5,1_3,1_3_1_3_5_5"
NLB073298_01,"12_10,3_1","8_8,3_10,8_3,8_3_10_8,10_8_3,8_8_1_12_12,8_1,1_12_10_8_3_10,8_5,12_12,12_10,10_8_3_10,8_8_8_1_12_12,8_3_10,8_8_1_12_12_10,10_8,12_10_8_3_10,10_8_3_10_8,12_10_8_3_10_8,1_12"
NLB073304_01,"3_12_10_8,8_6_5_3,6_8_10_10,8_8_8_8_1","5_3,6_8,8_8,3_5,1_3_5,8_1_3_5_6_8,8_8_8,5_6_8,8_8_8_1_3_5,1_3_5_6_8_10,3_5_6_8,10_8_8_8_8_1,8_8_8_8_1_3,8_8_1_3_5_6,1_3_5_6,1_3_5_6_8_6,3_5_6,1_3,5_6,1_3_5_6_8"
NLB073311_01,"5_8_6_5_3_1,8_10_8_5_3_1","5_3,3_1_8_5_8_10,3_5,5_3_1_8_5_8,6_5,8_6,3_1,1_8_5_8_10,1_1,1_1_3_5_8_6,8_5_8_10_8_10,5_8_10_8_10_8,1_8_5_8_10_8,3_1_8_5_8,8_10_8,5_8_10_8_10,1_1_1_3_5_8,8_10,10_8,5_8"
NLB073324_01,"8_5_1_8,8_8_1,1_5_10_8,5_10,8_10_12_1,12_10_8","1_5_10_10_10,1_8,8_8,5_10_10_10_6_8,5_1_8_5_3,1_5_10,8_5,1_5_10_10_10_6,5_1_8_5_3_1,5_1,5_10,1_5,5_10_10_10_6,1_5_1_5,10_8_8,8_10,10_8,8_8_5_1_8_5,10_10,8_1_5_10_10_10"
NLB073326_01,"5_5_5_5_10_8,3_10,5_3_1","5_3,8_8,8_6,3_1,1_10_1_1_3,1_1,5_5,1_10_1_1,10_1_1_3_1_12,10_1_1_3,5_10,1_10_1_1_3_1,5_5_5,8_10,5_10_8_10_8,10_8,10_1_1_3_1,5_5_5_5_10_8,5_1_1_10_1"
NLB073331_01,"6_5_6_8_10_10_10,8_6_5,8_8_8_1","6_8,8_8,3_1,5_6_8,8_8_1_1_3,3_3,1_1,5_5,8_1,8_1_1_3_3_1,1_1_3_3_1_3,3_3_1_3_5_5,1_3_3_1_3_5,1_3_3_1_3,1_3,5_6,1_1_3_3_1,8_8_8_1_1_3,8_8_1_1_3_3,8_8_8_1_1"
NLB073333_01,"3_6_3_1,5_5_5_5,8_8_1,5_8_1","5_3,8_8,8_1_12_1_12,8_1_12_1_12_10,3_1,5_8_1_3_6_3,5_5,12_10_8_5_3_1,12_1_12_10_8_5,8_1_3_6_3_1,8_1,8_1_3_6_3,12_10,10_8_5_3_1_12,1_3,10_8,1_12_10,12_10_8_5_3,8_5_3_1_12_10,1_12"
NLB073337_02,"5_1,6_5_3,8_1","3_3,5_3,6_5_6_5_3,5_6_5_1_3_12,1_1,3_5,3_3_3,3_3_5_1,5_1,5_6_5,1_1_3_3,6_5,6_5_1_3_12_1,3_3_3_3,6_5_1_3_12,3_3_5,1_3,5_6"
NLB073339_01,"3_12,12_10_8","3_3,10_8,8_8,10_10_8_12_12,3_3_3,3_3_3_3_3_3,10_8_12_12,10_10,3_3_3_3,8_8_8,12_12,8_8_8_8,3_3_3_3_3"
NLB073374_01,"3_5_6_8_10_12_8_1_1,8_3,3_5_6_8_10_12_12_1_1,10_8_5_6_5,1_5_8","6_5,12_10_8_6_6_5,3_1_12_10_8_6,6_8_10_12,1_12_10_8,1_12_10_8_6_6,1_1_3_1_12_10,12_10,1_1_3_1_12,1_5,1_3_1_12_10_8,3_5_6_8_10_12,12_10_8,12_10_8_6_6,5_6,8_10,10_8,1_12_10,5_6_8_10_12,1_12"
NLB073393_01,"3_8_5_3_1,8_1_8_5_3_1","5_1_3_8_5_3,5_3,10_8,5_5,10_10_8_1_8_5,6_5_3_3_10,8_1,10_10,1_5_5,6_5_3_3_10_10,1_5,1_5_5_5,8_5,3_1,3_10_10_8_1_8,8_6_5_3_3_10,10_8_1_8_5_3,5_5_5"
NLB073404_01,"10_8,3_5_7_8","5_3,8_8,8_12_10_8,3_5,1_3_3_5_3_8,8_6,3_8,3_1,3_3,1_1,3_3_5_3_8,8_12_10_8_8,3_1_1_3_3,3_3_5_3_8_8,3_1_1_3_3_5,8_12_10,1_3,1_1_3_3_5_3,10_8,1_3_3_5_3"
NLB073426_01,"1_12_10_8,3_3_3_3","3_3,12_10,10_8,1_1,3_3_3,1_12,10_8_3_1_12_10,3_3_3_3_3_3,3_3_3_3,3_1_12,3_1,10_8_8_8_1_1,3_1_12_10_8,3_1_12_10,3_3_3_3_3"
NLB073483_01,"8_8_6_5_3,5_5_5_5,1_8,8_1","3_3,5_3,5_5_5_5_5,8_1_1_1_3,1_1,5_5,5_3_1,3_5,3_5_3_1_8,5_5_5_5,3_1,5_5_5_5_5_5,8_1_1_1,5_5_5"
